bin	CHB_two_sided_statistic	CHB_two_sided_pvalue	CHB_two_sided_meta_pvalue	CHB_one_sided_statistic	CHB_one_sided_pvalue	CHB_one_sided_meta_pvalue	CHB_conservative_one_sided_meta_pvalue	CHB_heterozygosity_meta_pvalue	YRI_two_sided_statistic	YRI_two_sided_pvalue	YRI_two_sided_meta_pvalue	YRI_one_sided_statistic	YRI_one_sided_pvalue	YRI_one_sided_meta_pvalue	YRI_conservative_one_sided_meta_pvalue	YRI_heterozygosity_meta_pvalue
1	-49.601864649665586	5.802307060932928e-10	4.112783133767988e-05	-49.601864649665586	5.802307060932928e-10	4.112783133767988e-05	7.345822549888983e-09	2.3123416191155258e-05	0.42225240965700384	0.6875530817742692	0.552146544205609	0.42225240965700384	0.6875530817742692	0.552146544205609	0.6220083861215212	0.9383936668840974
2	0.6268371356764311	0.5538508791788745	4.112783133767988e-05	0.6268371356764311	0.5538508791788745	4.112783133767988e-05	7.345822549888983e-09	2.3123416191155258e-05	0.9242242508943662	0.3910205630075808	0.552146544205609	0.9242242508943662	0.3910205630075808	0.552146544205609	0.6220083861215212	0.9383936668840974
3	0.7918439480232442	0.4585949604969083	4.112783133767988e-05	0.7918439480232442	0.4585949604969083	4.112783133767988e-05	7.345822549888983e-09	2.3123416191155258e-05	-0.3998898982243715	0.7030812513928244	0.552146544205609	-0.3998898982243715	0.7030812513928244	0.552146544205609	0.6220083861215212	0.9383936668840974
4	0.5373817527599686	0.6140470416884073	4.112783133767988e-05	0.5373817527599686	0.6140470416884073	4.112783133767988e-05	7.345822549888983e-09	2.3123416191155258e-05	0.34766155205293264	0.7422509796392909	0.552146544205609	0.34766155205293264	0.7422509796392909	0.552146544205609	0.6220083861215212	0.9383936668840974
5	-0.6175790971354104	0.5595353807501015	4.112783133767988e-05	-0.6175790971354104	0.5595353807501015	4.112783133767988e-05	7.345822549888983e-09	2.3123416191155258e-05	-2.3880163783144046	0.05410583225959736	0.552146544205609	-2.3880163783144046	0.05410583225959736	0.552146544205609	0.6220083861215212	0.9383936668840974
6	-0.4143259364484849	0.6930381284999436	4.112783133767988e-05	-0.4143259364484849	0.6930381284999436	4.112783133767988e-05	7.345822549888983e-09	2.3123416191155258e-05	-1.972441081745435	0.09600016272249745	0.552146544205609	-1.972441081745435	0.09600016272249745	0.552146544205609	0.6220083861215212	0.9383936668840974
7	0.4035047404199983	0.7032505552507087	4.112783133767988e-05	0.4035047404199983	0.7032505552507087	4.112783133767988e-05	7.345822549888983e-09	2.3123416191155258e-05	0.6663238424489256	0.5347084912489117	0.552146544205609	0.6663238424489256	0.5347084912489117	0.552146544205609	0.6220083861215212	0.9383936668840974
8	0.9876999045578562	0.3614289815159931	4.112783133767988e-05	0.9876999045578562	0.3614289815159931	4.112783133767988e-05	7.345822549888983e-09	2.3123416191155258e-05	1.145327226530798	0.29567935040636967	0.552146544205609	1.145327226530798	0.29567935040636967	0.552146544205609	0.6220083861215212	0.9383936668840974
9	0.8279838306679614	0.4393563417115976	4.112783133767988e-05	0.8279838306679614	0.4393563417115976	4.112783133767988e-05	7.345822549888983e-09	2.3123416191155258e-05	-0.14081772470788592	0.8926213990665045	0.552146544205609	-0.14081772470788592	0.8926213990665045	0.552146544205609	0.6220083861215212	0.9383936668840974
10	-1.155944628423818	0.29158307885405726	4.112783133767988e-05	-1.155944628423818	0.29158307885405726	4.112783133767988e-05	7.345822549888983e-09	2.3123416191155258e-05	0.10752690293338314	0.9178754529530465	0.552146544205609	0.10752690293338314	0.9178754529530465	0.552146544205609	0.6220083861215212	0.9383936668840974
